OPCAO,CARGO,AREA,SUBAREA,VAGAS
40000968,Pesquisador,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,5
40000980,Pesquisador,Engenharias,Sociologia e Automação e Mecanização,11
40000981,Analista,Gestão da Informação,Gestão da Informação e da Programação Textos Técnico-Científicos,1
40001001,Pesquisador,Ciências Agrárias,Sanidade Aquícola,2
40001028,Analista,Ciências Biológicas,Insumos Biológicos,8
40001042,Analista,Ciências Agrárias,Tecnologia de Sementes,2
40001045,Pesquisador,Ciências Biológicas,Bioprospecção e Biotecnologia,8
40001060,Analista,Laboratórios e Campos Experimentais,Microbiologia do Solo,1
40001064,Analista,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,7
40001066,Analista,Gestão da Informação,Engenharia de Software,5
40001071,Pesquisador,Ciências Agrárias,Sanidade e Defesa Vegetal,1
40001074,Pesquisador,Ciências Agrárias,Sistemas de Produção Aquícola,3
40001084,Pesquisador,Ciências Agrárias,Sistema de Produção Integrado,3
40001098,Analista,Gestão de Pessoas,Administração de Pessoas,6
40001144,Pesquisador,Ciências Agrárias,Controle Alternativo de Fitopatógenos,3
40001150,Analista,Gestão da Informação,Gestão da Informação Edição Inglês/Português,1
40001151,Analista,Transferência de Tecnologia e Comunicação,"Gestão de Parcerias, Portfólios e Negócios para a Inovação",33
40001179,Pesquisador,Ciências Biológicas,Recursos Genéticos Animais,2
40001181,Analista,Laboratórios e Campos Experimentais,Laboratório,5
40001201,Analista,Gestão Estratégica,Gestão Integrada de Qualidade e Sustentabilidade,1
40001224,Analista,Ciências Biológicas,Biologia Avançada e Química,3
40001321,Pesquisador,Ciências Agrárias,Agentes Biológicos de Controle,3
40001348,Analista,Transferência de Tecnologia e Comunicação,Inovação Social,12
40001350,Pesquisador,Ciências Agrárias,Sistemas de Produção de Culturas Perenes,1
40001354,Pesquisador,Ciências Agrárias,Sistema de Produção de Espécies Frutíferas,4
40001355,Analista,Ciências Agrárias,Recursos Pesqueiros e Engenharia de Pesca,2
40001358,Pesquisador,Ciências Agrárias,Ecologia,1
40001388,Técnico,"Suprimento, Manutenção e Serviços",Ativos Patrimoniais e Imobiliários,2
40001393,Técnico,"Suprimento, Manutenção e Serviços",Novas Tecnologias,2
40001403,Pesquisador,Ciência e Tecnologia de Alimentos,Ciência de Alimentos de Pós-Colheita,2
40001465,Analista,Ciências Agrárias,Recursos Genéticos Microbianos,1
40001472,Pesquisador,Ciências Agrárias,Sanidade de Abelhas,1
40001479,Pesquisador,Ciências Agrárias,Matologia,4
40001484,Pesquisador,Ciências Agrárias,Nutrição de Ruminantes,4
40001494,Pesquisador,Recursos Naturais,Economia Ambiental,1
40001496,Analista,Ciências Agrárias,Sensoriamento Remoto,1
40001550,Pesquisador,Ciências Agrárias,Nematologia Vegetal,4
40001565,Pesquisador,Ciências Agrárias,Fitopatologia,10
40001592,Pesquisador,Ciências Agrárias,Forragicultura,8
40001607,Analista,Ciências Exatas e da Terra,Agricultura e Climatologia,3
40001642,Analista,Ciências Exatas e da Terra,Geomática,2
40001648,Analista,Transferência de Tecnologia e Comunicação,Análise de Dados,7
40001672,Pesquisador,Ciências Biológicas,Insumos Biológicos,12
40001690,Pesquisador,Ciências Biológicas,Biologia Avançada,14
40001733,Pesquisador,Ciências Exatas e da Terra,Geotecnologia,1
40001744,Pesquisador,Ciências Agrárias,Sistema de Produção Vegetal,20
40001749,Pesquisador,Ciências Agrárias,Sistemas de Produção de Ruminantes,3
40001752,Pesquisador,Ciências Agrárias,Sistema de Produção Agroecológico e Orgânico,7
